doc_id,file,algorithm,n_tokens,n_gold,n_retrieved,P@5,R@5,F1@5,nDCG@5,P@10,R@10,F1@10,nDCG@10,P@20,R@20,F1@20,nDCG@20,P@50,R@50,F1@50,nDCG@50,AP,MRR
11,Orosco Tuesta Lesly Fiorela.pdf,textrank,3385,4,1124,0.4,0.5,0.4444444444444445,0.5585075862632192,0.4,1.0,0.5714285714285715,0.801479410942855,0.2,1.0,0.33333333333333337,0.801479410942855,0.08,1.0,0.14814814814814814,0.801479410942855,0.5821428571428572,1.0
13,"POTENCIAL TURISTÍCO DEL DISTRITO DE CHUQUIBAMBA, PROVINCIA CHACHAPOYAS, DEPARTAMENTO DE LA LIBERT.pdf",tfidf,12865,6,2473,0.6,0.5,0.5454545454545454,0.6548086577531307,0.3,0.5,0.37499999999999994,0.5842273861585908,0.2,0.6666666666666666,0.30769230769230765,0.6582592306673591,0.1,0.8333333333333334,0.17857142857142858,0.7251539513406621,0.49051995363470763,1.0
13,"POTENCIAL TURISTÍCO DEL DISTRITO DE CHUQUIBAMBA, PROVINCIA CHACHAPOYAS, DEPARTAMENTO DE LA LIBERT.pdf",bbidf,12865,6,2473,0.4,0.3333333333333333,0.3636363636363636,0.5531464700081437,0.4,0.6666666666666666,0.5,0.6818624649454273,0.25,0.8333333333333334,0.3846153846153846,0.7518780706786133,0.1,0.8333333333333334,0.17857142857142858,0.7518780706786133,0.5243791296422875,1.0
13,"POTENCIAL TURISTÍCO DEL DISTRITO DE CHUQUIBAMBA, PROVINCIA CHACHAPOYAS, DEPARTAMENTO DE LA LIBERT.pdf",textrank,12865,6,2473,0.4,0.3333333333333333,0.3636363636363636,0.5531464700081437,0.3,0.5,0.37499999999999994,0.5943907508440193,0.2,0.6666666666666666,0.30769230769230765,0.6761654685931913,0.1,0.8333333333333334,0.17857142857142858,0.7330250142509983,0.486492673992674,1.0
15,Potencial turistico colcamar.pdf,tfidf,3469,7,1177,0.4,0.2857142857142857,0.3333333333333333,0.30078518014914984,0.4,0.5714285714285714,0.47058823529411764,0.43331321714210663,0.2,0.5714285714285714,0.29629629629629634,0.43331321714210663,0.14,1.0,0.24561403508771928,0.5935630982990832,0.3311731710227951,0.3333333333333333
15,Potencial turistico colcamar.pdf,bbidf,3469,7,1177,0.2,0.14285714285714285,0.16666666666666666,0.16958010263680806,0.4,0.5714285714285714,0.47058823529411764,0.4097225574171969,0.2,0.5714285714285714,0.29629629629629634,0.4097225574171969,0.14,1.0,0.24561403508771928,0.5796747953126138,0.31055025981134354,0.3333333333333333
15,Potencial turistico colcamar.pdf,textrank,3469,7,1177,0.4,0.2857142857142857,0.3333333333333333,0.27727342735504823,0.4,0.5714285714285714,0.47058823529411764,0.40934622782968033,0.3,0.8571428571428571,0.4444444444444444,0.5483366395737473,0.14,1.0,0.24561403508771928,0.5999864040976907,0.36849816849816847,0.25
16,Public Management of Tourism in Tourist Satisfaction.pdf,tfidf,2501,11,918,1.0,0.45454545454545453,0.625,1.0,0.8,0.7272727272727273,0.761904761904762,0.866947989864271,0.4,0.7272727272727273,0.5161290322580645,0.8168020258417209,0.16,0.7272727272727273,0.2622950819672131,0.8168020258417209,0.7431780248237353,1.0
16,Public Management of Tourism in Tourist Satisfaction.pdf,bbidf,2501,11,918,1.0,0.45454545454545453,0.625,1.0,0.8,0.7272727272727273,0.761904761904762,0.8701249883466593,0.4,0.7272727272727273,0.5161290322580645,0.8197952605303637,0.16,0.7272727272727273,0.2622950819672131,0.8197952605303637,0.757619900061831,1.0
16,Public Management of Tourism in Tourist Satisfaction.pdf,textrank,2501,11,918,1.0,0.45454545454545453,0.625,1.0,0.8,0.7272727272727273,0.761904761904762,0.866947989864271,0.4,0.7272727272727273,0.5161290322580645,0.8168020258417209,0.16,0.7272727272727273,0.2622950819672131,0.8168020258417209,0.7435833490181317,1.0
17,TURISMO Y LAS CONDICIONES SOCIOECONÓMICAS.pdf,tfidf,6023,7,1163,0.2,0.14285714285714285,0.16666666666666666,0.14606834984270645,0.2,0.2857142857142857,0.23529411764705882,0.20112881426068294,0.15,0.42857142857142855,0.2222222222222222,0.27148561750039013,0.12,0.8571428571428571,0.21052631578947367,0.4391055252085177,0.1808894830687506,0.25
17,TURISMO Y LAS CONDICIONES SOCIOECONÓMICAS.pdf,bbidf,6023,7,1163,0.2,0.14285714285714285,0.16666666666666666,0.16958010263680806,0.2,0.2857142857142857,0.23529411764705882,0.22415199495126514,0.15,0.42857142857142855,0.2222222222222222,0.2928710781798379,0.12,0.8571428571428571,0.21052631578947367,0.463169416470764,0.20120781828856363,0.3333333333333333
17,TURISMO Y LAS CONDICIONES SOCIOECONÓMICAS.pdf,textrank,6023,7,1163,0.2,0.14285714285714285,0.16666666666666666,0.3391602052736161,0.1,0.14285714285714285,0.11764705882352941,0.27487633291429087,0.15,0.42857142857142855,0.2222222222222222,0.4129912453443371,0.12,0.8571428571428571,0.21052631578947367,0.5896918429154235,0.2901384368288938,1.0
18,Turismo rural comunitario en kuelap.pdf,tfidf,879,5,376,0.4,0.4,0.4000000000000001,0.30078518014914984,0.5,1.0,0.6666666666666666,0.6306870103388195,0.25,1.0,0.4,0.6306870103388195,0.1,1.0,0.18181818181818182,0.6306870103388195,0.45777777777777773,0.3333333333333333
18,Turismo rural comunitario en kuelap.pdf,bbidf,879,5,376,0.4,0.4,0.4000000000000001,0.27727342735504823,0.5,1.0,0.6666666666666666,0.6132355269353261,0.25,1.0,0.4,0.6132355269353261,0.1,1.0,0.18181818181818182,0.6132355269353261,0.45539682539682536,0.25
18,Turismo rural comunitario en kuelap.pdf,textrank,879,5,376,0.4,0.4,0.4000000000000001,0.27727342735504823,0.5,1.0,0.6666666666666666,0.6071752575447179,0.25,1.0,0.4,0.6071752575447179,0.1,1.0,0.18181818181818182,0.6071752575447179,0.4411111111111111,0.25
19,Turismo sostenioble.pdf,tfidf,3051,6,1042,0.6,0.5,0.5454545454545454,0.5147714448836774,0.5,0.8333333333333334,0.625,0.6556125703220435,0.3,1.0,0.4615384615384615,0.7400213789045436,0.12,1.0,0.21428571428571425,0.7400213789045436,0.5847582972582972,0.5
19,Turismo sostenioble.pdf,bbidf,3051,6,1042,0.8,0.6666666666666666,0.7272727272727272,0.7860137352654724,0.6,1.0,0.7499999999999999,0.9001715370445234,0.3,1.0,0.4615384615384615,0.9001715370445234,0.12,1.0,0.21428571428571425,0.9001715370445234,0.7861111111111111,1.0
19,Turismo sostenioble.pdf,textrank,3051,6,1042,0.8,0.6666666666666666,0.7272727272727272,0.8687949224876582,0.5,0.8333333333333334,0.625,0.8829374068620365,0.3,1.0,0.4615384615384615,0.9541727122059144,0.12,1.0,0.21428571428571425,0.9541727122059144,0.861111111111111,1.0
20,VALORACIÓN ECONÓMICA DEL COMPLEJO ARQUEOLÓGICO DE KUELAP.pdf,tfidf,5248,9,1545,0.8,0.4444444444444444,0.5714285714285714,0.6608397947263839,0.5,0.5555555555555556,0.5263157894736842,0.5259200450269614,0.4,0.8888888888888888,0.5517241379310346,0.7107229682958326,0.16,0.8888888888888888,0.27118644067796616,0.7107229682958326,0.5500647500647502,0.5
20,VALORACIÓN ECONÓMICA DEL COMPLEJO ARQUEOLÓGICO DE KUELAP.pdf,bbidf,5248,9,1545,0.6,0.3333333333333333,0.42857142857142855,0.6843515475204855,0.7,0.7777777777777778,0.7368421052631577,0.7654671039995544,0.4,0.8888888888888888,0.5517241379310346,0.8256288985680241,0.18,1.0,0.3050847457627119,0.8672751669191436,0.6575774754346183,1.0
20,VALORACIÓN ECONÓMICA DEL COMPLEJO ARQUEOLÓGICO DE KUELAP.pdf,textrank,5248,9,1545,0.6,0.3333333333333333,0.42857142857142855,0.639945385422766,0.4,0.4444444444444444,0.4210526315789474,0.5114397556589976,0.4,0.8888888888888888,0.5517241379310346,0.7510129238850678,0.16,0.8888888888888888,0.27118644067796616,0.7510129238850678,0.5075375891165366,1.0
21,"análisis del turismo sostenible en la provincia de Utcubamba, Amazonas-Perú.pdf",tfidf,2396,6,929,0.2,0.16666666666666666,0.1818181818181818,0.13120507751234178,0.1,0.16666666666666666,0.125,0.11706259313796354,0.05,0.16666666666666666,0.07692307692307691,0.11706259313796354,0.08,0.6666666666666666,0.14285714285714285,0.2950507139333106,0.10334487800589498,0.2
21,"análisis del turismo sostenible en la provincia de Utcubamba, Amazonas-Perú.pdf",bbidf,2396,6,929,0.2,0.16666666666666666,0.1818181818181818,0.21398626473452756,0.1,0.16666666666666666,0.125,0.19092086617893467,0.05,0.16666666666666666,0.07692307692307691,0.19092086617893467,0.08,0.6666666666666666,0.14285714285714285,0.37437493498078356,0.15582359305689708,0.5
21,"análisis del turismo sostenible en la provincia de Utcubamba, Amazonas-Perú.pdf",textrank,2396,6,929,0.2,0.16666666666666666,0.1818181818181818,0.3391602052736161,0.2,0.3333333333333333,0.25,0.3936948167222715,0.15,0.5,0.23076923076923075,0.47114833278411083,0.08,0.6666666666666666,0.14285714285714285,0.5371472179333826,0.2875729899319169,1.0
22,capacidad de carga turística.pdf,tfidf,6033,4,1600,0.4,0.5,0.4444444444444445,0.4144299250118475,0.3,0.75,0.4285714285714285,0.5375811193822125,0.15,0.75,0.24999999999999997,0.5375811193822125,0.06,0.75,0.1111111111111111,0.5375811193822125,0.35064655172413794,0.5
22,capacidad de carga turística.pdf,bbidf,6033,4,1600,0.4,0.5,0.4444444444444445,0.3191471544989227,0.3,0.75,0.4285714285714285,0.44927383782962327,0.15,0.75,0.24999999999999997,0.44927383782962327,0.06,0.75,0.1111111111111111,0.44927383782962327,0.28297619047619044,0.25
22,capacidad de carga turística.pdf,textrank,6033,4,1600,0.2,0.25,0.22222222222222224,0.19519002499605084,0.3,0.75,0.4285714285714285,0.4573973988771914,0.15,0.75,0.24999999999999997,0.4573973988771914,0.08,1.0,0.14814814814814814,0.5262180578471025,0.28041666666666665,0.3333333333333333
23,estategias de marketin. desarrollo turistico.pdf,tfidf,5933,10,1354,0.6,0.3,0.4,0.7227265726449519,0.4,0.4,0.4000000000000001,0.5473983622993502,0.3,0.6,0.4,0.6575781860184935,0.16,0.8,0.26666666666666666,0.740009440832263,0.5135848293863,1.0
23,estategias de marketin. desarrollo turistico.pdf,bbidf,5933,10,1354,0.6,0.3,0.4,0.7227265726449519,0.5,0.5,0.5,0.6136525857537393,0.3,0.6,0.4,0.6637609329229748,0.16,0.8,0.26666666666666666,0.7471829548475596,0.5230093393289519,1.0
23,estategias de marketin. desarrollo turistico.pdf,textrank,5933,10,1354,0.8,0.4,0.5333333333333333,0.8687949224876582,0.5,0.5,0.5,0.6274092458891772,0.25,0.5,0.3333333333333333,0.6274092458891772,0.16,0.8,0.26666666666666666,0.7580116386709577,0.5323571344409096,1.0
24,festividades folkloricas y actividades turisticas.pdf,tfidf,5801,6,1416,0.8,0.6666666666666666,0.7272727272727272,0.8539316501572937,0.4,0.6666666666666666,0.5,0.7618870795651185,0.3,1.0,0.4615384615384615,0.9056902160796163,0.12,1.0,0.21428571428571425,0.9056902160796163,0.7379084967320261,1.0
24,festividades folkloricas y actividades turisticas.pdf,bbidf,5801,6,1416,0.6,0.5,0.5454545454545454,0.7227265726449519,0.5,0.8333333333333334,0.625,0.8331636716948344,0.3,1.0,0.4615384615384615,0.9031792774280204,0.12,1.0,0.21428571428571425,0.9031792774280204,0.731203007518797,1.0
24,festividades folkloricas y actividades turisticas.pdf,textrank,5801,6,1416,0.8,0.6666666666666666,0.7272727272727272,0.7860137352654724,0.5,0.8333333333333334,0.625,0.7923823825200124,0.25,0.8333333333333334,0.3846153846153846,0.7923823825200124,0.12,1.0,0.21428571428571425,0.8546721308336257,0.6644179894179895,1.0
25,guias de turismo en chachapoyas.pdf,tfidf,5142,6,1279,1.0,0.8333333333333334,0.9090909090909091,1.0,0.6,1.0,0.7499999999999999,0.9930783166417602,0.3,1.0,0.4615384615384615,0.9930783166417602,0.12,1.0,0.21428571428571425,0.9930783166417602,0.9761904761904762,1.0
25,guias de turismo en chachapoyas.pdf,bbidf,5142,6,1279,1.0,0.8333333333333334,0.9090909090909091,1.0,0.6,1.0,0.7499999999999999,1.0,0.3,1.0,0.4615384615384615,1.0,0.12,1.0,0.21428571428571425,1.0,1.0,1.0
25,guias de turismo en chachapoyas.pdf,textrank,5142,6,1279,1.0,0.8333333333333334,0.9090909090909091,1.0,0.6,1.0,0.7499999999999999,1.0,0.3,1.0,0.4615384615384615,1.0,0.12,1.0,0.21428571428571425,1.0,1.0,1.0
26,identidad cultural y artesania.pdf,tfidf,5313,4,1381,0.6,0.75,0.6666666666666665,0.8318724637288826,0.3,0.75,0.4285714285714285,0.8318724637288826,0.2,1.0,0.33333333333333337,0.9294674762269081,0.08,1.0,0.14814814814814814,0.9294674762269081,0.8166666666666667,1.0
26,identidad cultural y artesania.pdf,bbidf,5313,4,1381,0.6,0.75,0.6666666666666665,0.8048099750039491,0.3,0.75,0.4285714285714285,0.8048099750039491,0.2,1.0,0.33333333333333337,0.8984279776915455,0.08,1.0,0.14814814814814814,0.8984279776915455,0.7463235294117647,1.0
26,identidad cultural y artesania.pdf,textrank,5313,4,1381,0.6,0.75,0.6666666666666665,0.8318724637288826,0.3,0.75,0.4285714285714285,0.8318724637288826,0.15,0.75,0.24999999999999997,0.8318724637288826,0.08,1.0,0.14814814814814814,0.9033780850575628,0.7732558139534884,1.0
27,paisajes culturales.pdf,tfidf,7064,7,1752,0.6,0.42857142857142855,0.5,0.6548086577531307,0.4,0.5714285714285714,0.47058823529411764,0.6174111208209189,0.3,0.8571428571428571,0.4444444444444444,0.7542743567989295,0.12,0.8571428571428571,0.21052631578947367,0.7542743567989295,0.5229846269216347,1.0
27,paisajes culturales.pdf,bbidf,7064,7,1752,0.6,0.42857142857142855,0.5,0.6992148198508501,0.3,0.42857142857142855,0.3529411764705882,0.5666867828578932,0.3,0.8571428571428571,0.4444444444444444,0.7800447422286807,0.12,0.8571428571428571,0.21052631578947367,0.7800447422286807,0.5525004596433168,1.0
27,paisajes culturales.pdf,textrank,7064,7,1752,0.6,0.42857142857142855,0.5,0.6548086577531307,0.4,0.5714285714285714,0.47058823529411764,0.6134433136321192,0.25,0.7142857142857143,0.37037037037037035,0.6838001168718264,0.12,0.8571428571428571,0.21052631578947367,0.733286467752913,0.4817398119640814,1.0
28,percepción del impacto.pdf,tfidf,2336,7,881,0.2,0.14285714285714285,0.16666666666666666,0.14606834984270645,0.3,0.42857142857142855,0.3529411764705882,0.28946531669289394,0.3,0.8571428571428571,0.4444444444444444,0.5037455777884452,0.14,1.0,0.24561403508771928,0.5629369742661267,0.31759431045145325,0.25
28,percepción del impacto.pdf,bbidf,2336,7,881,0.2,0.14285714285714285,0.16666666666666666,0.21398626473452756,0.4,0.5714285714285714,0.47058823529411764,0.43451295109244287,0.3,0.8571428571428571,0.4444444444444444,0.5854698379878432,0.14,1.0,0.24561403508771928,0.6454215459616939,0.40915028725587727,0.5
28,percepción del impacto.pdf,textrank,2336,7,881,0.4,0.2857142857142857,0.3333333333333333,0.4703652827859579,0.5,0.7142857142857143,0.588235294117647,0.6534974049045721,0.35,1.0,0.5185185185185185,0.7897729795416583,0.14,1.0,0.24561403508771928,0.7897729795416583,0.5524743230625583,1.0
29,pilasres del turismo.pdf,tfidf,9315,5,2266,0.4,0.4,0.4000000000000001,0.38356636737133565,0.3,0.6,0.4,0.4856637624942473,0.15,0.6,0.24,0.4856637624942473,0.06,0.6,0.1090909090909091,0.4856637624942473,0.3185100845803513,0.5
29,pilasres del turismo.pdf,bbidf,9315,5,2266,0.6,0.6,0.6,0.5296347172140421,0.3,0.6,0.4,0.5296347172140421,0.15,0.6,0.24,0.5296347172140421,0.08,0.8,0.14545454545454545,0.5933635386536701,0.40635241951031426,0.5
29,pilasres del turismo.pdf,textrank,9315,5,2266,0.6,0.6,0.6,0.4912596920895758,0.3,0.6,0.4,0.4912596920895758,0.15,0.6,0.24,0.4912596920895758,0.06,0.6,0.1090909090909091,0.4912596920895758,0.3377354548376728,0.5
30,redes sociales y turismo.pdf,tfidf,4142,4,1211,0.4,0.5,0.4444444444444445,0.5855700749881525,0.2,0.5,0.28571428571428575,0.5855700749881525,0.15,0.75,0.24999999999999997,0.6944638360563847,0.08,1.0,0.14814814814814814,0.7807630961934954,0.5303030303030303,1.0
30,redes sociales y turismo.pdf,bbidf,4142,4,1211,0.4,0.5,0.4444444444444445,0.5585075862632192,0.3,0.75,0.4285714285714285,0.6760236910196463,0.15,0.75,0.24999999999999997,0.6760236910196463,0.08,1.0,0.14814814814814814,0.7548215475304265,0.49166666666666664,1.0
