doc_id,metric,tfidf,bbidf,diff,improvement_pct
24,nDCG@10,0.7618870795651185,0.8331636716948344,0.07127659212971593,9.355269834789727
25,nDCG@10,0.9930783166417602,1.0,0.0069216833582398385,0.6969926985866054
26,nDCG@10,0.8318724637288826,0.8048099750039491,-0.027062488724933442,-3.253201651083073
27,nDCG@10,0.6174111208209189,0.5666867828578932,-0.05072433796302567,-8.215650196838348
28,nDCG@10,0.28946531669289394,0.43451295109244287,0.14504763439954893,50.1088130546003
29,nDCG@10,0.4856637624942473,0.5296347172140421,0.043970954719794786,9.053785378997805
30,nDCG@10,0.5855700749881525,0.6760236910196463,0.09045361603149382,15.447103582491629
31,nDCG@10,0.6291031399287498,0.6913628197251253,0.06225967979637548,9.896577499744605
32,nDCG@10,0.8547529378296287,0.7486761295186739,-0.10607680831095478,-12.410230326941358
0,P@20,0.2,0.1,-0.1,-50.0
1,P@20,0.05,0.05,0.0,0.0
2,P@20,0.2,0.2,0.0,0.0
3,P@20,0.2,0.2,0.0,0.0
4,P@20,0.1,0.1,0.0,0.0
5,P@20,0.4,0.4,0.0,0.0
6,P@20,0.3,0.35,0.04999999999999999,16.666666666666664
7,P@20,0.25,0.25,0.0,0.0
8,P@20,0.25,0.2,-0.04999999999999999,-19.999999999999996
9,P@20,0.25,0.25,0.0,0.0
11,P@20,0.2,0.2,0.0,0.0
13,P@20,0.2,0.25,0.04999999999999999,24.999999999999993
15,P@20,0.2,0.2,0.0,0.0
16,P@20,0.4,0.4,0.0,0.0
17,P@20,0.15,0.15,0.0,0.0
18,P@20,0.25,0.25,0.0,0.0
19,P@20,0.3,0.3,0.0,0.0
20,P@20,0.4,0.4,0.0,0.0
21,P@20,0.05,0.05,0.0,0.0
22,P@20,0.15,0.15,0.0,0.0
23,P@20,0.3,0.3,0.0,0.0
24,P@20,0.3,0.3,0.0,0.0
25,P@20,0.3,0.3,0.0,0.0
26,P@20,0.2,0.2,0.0,0.0
27,P@20,0.3,0.3,0.0,0.0
28,P@20,0.3,0.3,0.0,0.0
29,P@20,0.15,0.15,0.0,0.0
30,P@20,0.15,0.15,0.0,0.0
31,P@20,0.3,0.3,0.0,0.0
32,P@20,0.2,0.2,0.0,0.0
0,R@20,0.2857142857142857,0.14285714285714285,-0.14285714285714285,-50.0
1,R@20,0.2,0.2,0.0,0.0
2,R@20,1.0,1.0,0.0,0.0
3,R@20,0.5714285714285714,0.5714285714285714,0.0,0.0
4,R@20,0.4,0.4,0.0,0.0
5,R@20,0.7272727272727273,0.7272727272727273,0.0,0.0
6,R@20,0.8571428571428571,1.0,0.1428571428571429,16.666666666666675
