doc_id,doc,k,metric,algo,similarity
17,doc18,50,jaccard,tfidf,0.612903
17,doc18,50,overlap,tfidf,0.76
17,doc18,5,rbo,bbidf,0.569371
17,doc18,5,jaccard,bbidf,0.666667
17,doc18,5,overlap,bbidf,0.8
17,doc18,10,rbo,bbidf,0.568226
17,doc18,10,jaccard,bbidf,0.333333
17,doc18,10,overlap,bbidf,0.5
17,doc18,20,rbo,bbidf,0.606886
17,doc18,20,jaccard,bbidf,0.666667
17,doc18,20,overlap,bbidf,0.8
17,doc18,50,rbo,bbidf,0.628406
17,doc18,50,jaccard,bbidf,0.666667
17,doc18,50,overlap,bbidf,0.8
18,doc19,5,rbo,tfidf,0.65783
18,doc19,5,jaccard,tfidf,0.666667
18,doc19,5,overlap,tfidf,0.8
18,doc19,10,rbo,tfidf,0.758099
18,doc19,10,jaccard,tfidf,1.0
18,doc19,10,overlap,tfidf,1.0
18,doc19,20,rbo,tfidf,0.754831
18,doc19,20,jaccard,tfidf,0.481481
18,doc19,20,overlap,tfidf,0.65
18,doc19,50,rbo,tfidf,0.750423
18,doc19,50,jaccard,tfidf,0.5625
18,doc19,50,overlap,tfidf,0.72
18,doc19,5,rbo,bbidf,0.679258
18,doc19,5,jaccard,bbidf,0.666667
18,doc19,5,overlap,bbidf,0.8
18,doc19,10,rbo,bbidf,0.786681
18,doc19,10,jaccard,bbidf,1.0
18,doc19,10,overlap,bbidf,1.0
18,doc19,20,rbo,bbidf,0.775894
18,doc19,20,jaccard,bbidf,0.538462
18,doc19,20,overlap,bbidf,0.7
18,doc19,50,rbo,bbidf,0.771255
18,doc19,50,jaccard,bbidf,0.587302
18,doc19,50,overlap,bbidf,0.74
19,doc20,5,rbo,tfidf,0.458934
19,doc20,5,jaccard,tfidf,0.666667
19,doc20,5,overlap,tfidf,0.8
19,doc20,10,rbo,tfidf,0.542097
19,doc20,10,jaccard,tfidf,0.428571
19,doc20,10,overlap,tfidf,0.6
19,doc20,20,rbo,tfidf,0.545674
19,doc20,20,jaccard,tfidf,0.428571
19,doc20,20,overlap,tfidf,0.6
19,doc20,50,rbo,tfidf,0.555073
19,doc20,50,jaccard,tfidf,0.538462
19,doc20,50,overlap,tfidf,0.7
19,doc20,5,rbo,bbidf,0.503438
19,doc20,5,jaccard,bbidf,0.666667
19,doc20,5,overlap,bbidf,0.8
19,doc20,10,rbo,bbidf,0.617903
19,doc20,10,jaccard,bbidf,0.538462
19,doc20,10,overlap,bbidf,0.7
19,doc20,20,rbo,bbidf,0.628332
19,doc20,20,jaccard,bbidf,0.481481
19,doc20,20,overlap,bbidf,0.65
19,doc20,50,rbo,bbidf,0.637976
19,doc20,50,jaccard,bbidf,0.666667
19,doc20,50,overlap,bbidf,0.8
20,doc21,5,rbo,tfidf,0.140634
20,doc21,5,jaccard,tfidf,0.428571
20,doc21,5,overlap,tfidf,0.6
20,doc21,10,rbo,tfidf,0.311955
20,doc21,10,jaccard,tfidf,0.428571
20,doc21,10,overlap,tfidf,0.6
20,doc21,20,rbo,tfidf,0.402471
20,doc21,20,jaccard,tfidf,0.538462
20,doc21,20,overlap,tfidf,0.7
20,doc21,50,rbo,tfidf,0.432789
20,doc21,50,jaccard,tfidf,0.492537
20,doc21,50,overlap,tfidf,0.66
20,doc21,5,rbo,bbidf,0.251071
20,doc21,5,jaccard,bbidf,0.428571
20,doc21,5,overlap,bbidf,0.6
20,doc21,10,rbo,bbidf,0.383227
20,doc21,10,jaccard,bbidf,0.428571
20,doc21,10,overlap,bbidf,0.6
20,doc21,20,rbo,bbidf,0.482429
20,doc21,20,jaccard,bbidf,0.666667
20,doc21,20,overlap,bbidf,0.8
20,doc21,50,rbo,bbidf,0.516179
20,doc21,50,jaccard,bbidf,0.639344
20,doc21,50,overlap,bbidf,0.78
21,doc22,5,rbo,tfidf,0.032043
21,doc22,5,jaccard,tfidf,0.111111
21,doc22,5,overlap,tfidf,0.2
21,doc22,10,rbo,tfidf,0.125983
21,doc22,10,jaccard,tfidf,0.176471
21,doc22,10,overlap,tfidf,0.3
21,doc22,20,rbo,tfidf,0.15984
21,doc22,20,jaccard,tfidf,0.176471
21,doc22,20,overlap,tfidf,0.3
21,doc22,50,rbo,tfidf,0.179553
21,doc22,50,jaccard,tfidf,0.351351
21,doc22,50,overlap,tfidf,0.52
21,doc22,5,rbo,bbidf,0.613326
21,doc22,5,jaccard,bbidf,0.666667
21,doc22,5,overlap,bbidf,0.8
21,doc22,10,rbo,bbidf,0.650825
21,doc22,10,jaccard,bbidf,0.428571
21,doc22,10,overlap,bbidf,0.6
21,doc22,20,rbo,bbidf,0.592309
21,doc22,20,jaccard,bbidf,0.176471
21,doc22,20,overlap,bbidf,0.3
21,doc22,50,rbo,bbidf,0.563247
21,doc22,50,jaccard,bbidf,0.428571
21,doc22,50,overlap,bbidf,0.6
22,doc23,5,rbo,tfidf,0.437506
22,doc23,5,jaccard,tfidf,0.666667
22,doc23,5,overlap,tfidf,0.8
22,doc23,10,rbo,tfidf,0.606263
22,doc23,10,jaccard,tfidf,0.666667
22,doc23,10,overlap,tfidf,0.8
22,doc23,20,rbo,tfidf,0.651517
