doc_id,file,algorithm,keywords
28,percepción del impacto.pdf,bbidf,"colcamar, turismo, distrito, afectado, turístico, preocupado, desarrollo, percepción, sostenible, rural"
28,percepción del impacto.pdf,textrank,"turismo, distrito, colcamar, turístico, desarrollo, percepción, sostenible, local, impacto, rural"
29,pilasres del turismo.pdf,tfidf,"turístico, pilar, turismo, seguridad, institucionalidad, servicio, gestión, facilitación, público, levanto"
29,pilasres del turismo.pdf,bbidf,"turístico, pilar, turismo, público, gestión, seguridad, servicio, criterio, importancia, ambiental"
29,pilasres del turismo.pdf,textrank,"turístico, turismo, servicio, pilar, público, gestión, sector, ambiental, desarrollo, seguridad"
30,redes sociales y turismo.pdf,tfidf,"venta, red, social, operador, turístico, contribución, servicio, contenido, variable, chachapoyas"
30,redes sociales y turismo.pdf,bbidf,"venta, red, turístico, social, operador, contenido, chachapoyas, contribución, turismo, servicio"
30,redes sociales y turismo.pdf,textrank,"social, red, venta, turístico, chachapoyas, operador, turismo, servicio, variable, contribución"
31,turismo alternativo.folklore.pdf,tfidf,"funerario, turismo, folclore, cementerio, ciudad, alternativo, chachapoyas, turista, actividad, difunto"
31,turismo alternativo.folklore.pdf,bbidf,"turismo, funerario, chachapoyas, turístico, ciudad, alternativo, turista, folclore, cementerio, actividad"
31,turismo alternativo.folklore.pdf,textrank,"turismo, chachapoyas, funerario, actividad, ciudad, turista, turístico, folclore, cementerio, alternativo"
32,turismo comunitario.san bartolo.pdf,tfidf,"turismo, bartolo, comunitario, turístico, comunidad, desarrollo, sostenible, dimensión, nivel, ods"
32,turismo comunitario.san bartolo.pdf,bbidf,"turístico, turismo, comunitario, desarrollo, bartolo, sostenible, dimensión, comunidad, indicador, nivel"
32,turismo comunitario.san bartolo.pdf,textrank,"turismo, turístico, comunitario, comunidad, desarrollo, sostenible, nivel, cultural, dimensión, actividad"
